"AMZN",768.31,965902,3514250,"-0.98 - -0.13%"
"GOOG",784.26,369919,1646330,"+1.04 - +0.13%"
"QCOM",61.9900,1653619,9719920,"-0.3754 - -0.6056%"
"TXN",70.2500,1467740,5612460,"-0.2425 - -0.3452%"
"^N225",16764.97,0,N/A,"-29.85 - -0.18%"
"^GSPC",2181.74,190589199,N/A,"-4.74 - -0.22%"
